CC AB,STD AB,CC AC,STD AC,CC BC,STD BC,F1,F2,F3,MoF1,MoF2,MoF3,BiF1,BiF2,BiF3,BiF12,BiF23,BiF31,Mo,Bi,Ti,BC A,STD A,BC B,STD B,BC C,STD C,InA,OutA,InB,OutB,InC,OutC,RN,PInA,NInA,PInB,NInB,PInC,NInC,Mean Connectivity,In Degree of TT,MaxCC,F1/F2
-0.055998737351611,0.0027798850780553,-0.227407197969973,0.0120972423775459,-0.7279857249338731,0.0051346891326495,0.5220278906571669,0.4272211381822738,0.0507509711605592,11847,7546,545,2525,1093,0,3028,219,283,19938,7148,55861,0.2994351526614635,0.0122686268451853,0.4555397440667849,0.0021902566946253,0.4218455198920184,0.005584882033817,3.0,4.0,3.0,4.0,5.0,3.0,RN015,0,3,1,2,2,3,5N & E:2N,11.0,-0.055998737351611,1.2219149381940082
-0.29951278530496,0.0027256594977576,-0.3594280619506249,0.0103160108752983,-0.4480902279696415,0.0082095451308881,0.4930717440092666,0.4498950264243828,0.0570332295663505,10659,8318,664,1817,820,0,2670,180,224,19641,5711,69065,0.3756379506742791,0.0065277824123738,0.3459754131498097,0.0038525436716086,0.4117883276444914,0.0044361895608791,3.0,3.0,3.0,3.0,3.0,3.0,RN016,0,3,1,2,0,3,5N & E:2N,9.0,-0.29951278530496,1.095970648815654
-0.6023653093994605,0.0033865609212791,-0.4063739001406379,0.0068200309920755,-0.0770123090389937,0.0059980637206956,0.5620505488035662,0.4044324824424912,0.0335169687539425,10192,6770,381,3722,1567,0,4122,258,316,17343,9985,47558,0.5265808069931801,0.0004851231745595,0.4064792087124351,0.0056449672310836,0.325521516165954,0.0064659744415663,4.0,4.0,3.0,3.0,3.0,3.0,RN017,0,4,1,2,0,3,5N & E:2N,10.0,-0.0770123090389937,1.3897265259436418
-0.2428668276857427,0.0055657780481392,-0.5201918238677995,0.0053106892412205,-0.4606912906472329,0.0037890416151057,0.5952729597624106,0.3856703858766267,0.0190566543609627,10513,5371,134,4383,1406,0,4970,166,156,16018,11081,48487,0.4379506076879266,0.0008307618929543,0.4293347448509522,0.006672017443602,0.5123280856833855,0.0020983410430617,3.0,3.0,3.0,3.0,4.0,3.0,RN018,0,3,1,2,1,3,5N & E:2N,10.0,-0.2428668276857427,1.543475935828877
-0.7308081473539874,0.0019258608745426,-0.6936602244269062,0.0046879841297652,0.3639874839816281,0.0008812973602169,0.5106175759578427,0.4524774343901633,0.0369049896519939,7755,4768,206,3517,1387,0,7573,218,206,12729,12901,57499,0.556828350458252,0.0031892342050531,0.5545447579217925,0.0096673790241876,0.4480082305078077,0.0012077516260626,2.0,4.0,4.0,3.0,3.0,3.0,RN019,0,2,2,2,1,2,5N & E:2N,9.0,0.3639874839816281,1.128492908482915
-0.0109021740606478,0.0065510750991547,-0.615779068921977,0.0010808653077059,-0.5329227597731356,0.0058095504025942,0.5758319790857062,0.3903412704020349,0.0338267505122588,8705,5682,306,4485,1181,0,4858,164,202,14693,10890,56612,0.3607026692793763,0.0069853018128876,0.4988091337285495,0.0041305635150725,0.4895584168794538,0.0040737693864164,4.0,3.0,3.0,4.0,2.0,3.0,RN020,0,4,0,3,0,2,5N & E:2N,9.0,-0.0109021740606478,1.4752013756901075
-0.4502690949524972,0.0075871763369272,-0.2144948388124434,0.0081308877631619,-0.4984765854822339,0.006569473165033,0.5556982041928261,0.4010270701883484,0.0432747256188254,11099,5857,411,4027,732,0,3553,142,187,17367,8641,63871,0.3618695217128144,0.0044984051737493,0.4551372957107453,0.0021040706642269,0.4411511289182102,0.0055341015451805,5.0,3.0,2.0,3.0,2.0,3.0,RN021,2,3,0,2,0,2,5N & E:2N,9.0,-0.2144948388124434,1.3856875146404308
-0.2297222787228743,0.0034992517703802,-0.5590461962626545,0.0013084079423891,-0.4586644652955558,0.0065645056988766,0.5806863634835804,0.4004403213337367,0.0188733151826829,7125,4238,100,3506,1000,0,5925,149,140,11463,10720,59502,0.5112362383103378,0.0040364020716374,0.5529222649528014,0.0021523524398273,0.4479102741740318,0.0008773544917515,3.0,3.0,3.0,3.0,4.0,3.0,RN022,0,3,1,2,1,3,5N & E:2N,10.0,-0.2297222787228743,1.4501196122046418
-0.5129640759569658,0.0103303949628829,-0.1519320392466618,0.007430144064914,-0.5086622893158358,0.007024938350628,0.5835443569260041,0.3799264098940918,0.036529233179904,9856,3978,278,4154,524,0,3293,130,145,14112,8246,71477,0.4487752576347765,0.0102240927774422,0.4862943694791586,0.0093226021568103,0.3858491368136652,0.0052793640070528,2.0,3.0,2.0,3.0,4.0,3.0,RN023,0,2,0,2,2,2,5N & E:2N,8.0,-0.1519320392466618,1.535940491972308
-0.0920034427248438,0.0042549225214605,-0.539790784147106,0.0054910798715959,-0.5776933594888362,0.0053463965937959,0.5855082352495214,0.3895301453725289,0.0249616193779496,9020,6150,215,4932,1138,0,4639,144,134,15385,10987,52761,0.4129299579838182,0.0035910495828715,0.4997774274498394,0.0020293590299792,0.4783706848885597,0.0020337594131657,4.0,3.0,3.0,3.0,2.0,3.0,RN024,2,2,0,3,0,2,5N & E:2N,9.0,-0.0920034427248438,1.503114052160374
