RN,CC AB,STD AB,F1,M,B1,B2,B3,Mo,Bi,Ti,BiC A,STD A,BiC B,STD B,inA,OutA,inB,OutB,Mean Connectivity,Order,BiSt,MoSt,B:M,inTS,InABR,BCABR
RN068,-0.6126508021855867,0.0053231924271997,0.7421454014065212,0.7635616580849847,0.4693928437850642,0.02032165565390849,0.5102855005610273,19227,8021,43796,0.3569503144942702,0.00565763159244,0.5695361457131952,0.0036132906437923,4,2,2,2,E:2N,5N,0.20410929198742275,0.7958907080125772,0.6147412442923118,6,1.0,-0.6740641326630901
RN069,-0.7279524864969851,0.007425060043754,0.7579736424570152,0.8264050996588257,0.6519031141868512,0.0,0.3480968858131488,22276,2890,61766,0.6765883197026166,0.0002864282564271,0.4049133463905842,0.0056326331063812,1,2,3,2,E:2N,5N,0.09283989553047849,0.9071601044695216,0.7888420757035307,4,-1.5849625007211563,0.7406650747310495
RN070,-0.8361951743905562,0.0027766803728014,0.8697900821417706,0.8192584736400195,0.9471716514954487,0.0,0.05282834850455136,22629,6152,46018,0.7957421558063117,0.0017917600107062,0.7981172427194779,0.0041426923350983,1,2,1,2,E:2N,5N,0.23914470984158254,0.7608552901584175,1.1561328713355903,2,0.0,-0.004299662380165229
RN071,-0.7022295226763967,0.0061549979295695,0.7604430745926386,0.8046314245297846,0.6392811296534018,0.0,0.3607188703465982,19087,2337,95063,0.7171518530776657,0.0058630988939076,0.3471069367501849,0.0031889399705865,1,2,3,2,E:2N,5N,0.08865416567766438,0.9113458343223356,0.794501818055377,4,-1.5849625007211563,1.0468984372908043
RN072,-0.8232145455598533,0.0027728951076569,0.849403337294348,0.9180795275189654,0.6891403426056891,0.0,0.3108596573943109,19641,6363,59749,0.6254220751566243,0.0066851822944343,0.541772657560833,0.0032295066306125,3,2,2,2,E:2N,5N,0.1956104741936923,0.8043895258063077,0.7506325127062079,5,0.5849625007211562,0.20714255736307446
RN073,-0.6504501972634661,0.0055961276549317,0.7263684219792602,0.8048066875653083,0.44221282593375616,0.0,0.5577871740662438,23925,2838,56799,0.3721711281698595,0.0059946151137811,0.4613841638851267,0.0052719431518581,2,3,3,2,E:2N,5N,0.06118966357874208,0.9388103364212579,0.5494646512835687,5,-0.5849625007211563,-0.3100023470351568
RN074,-0.7159373662599083,0.0041382076291123,0.865682352307996,0.8634451901565996,0.6508981367845588,0.0,0.34910186321544123,11175,8963,55741,0.5325131874620442,0.0050032237462948,0.5617251319418255,0.0027383082356489,4,2,2,2,E:2N,5N,0.3768003616870116,0.6231996383129884,0.7538383955402056,6,1.0,-0.07704709795129833
RN075,-0.669020575354263,0.0123931876008759,0.742631313767477,0.7672873431219752,0.4888408927285817,0.0,0.5111591072714183,12191,4167,63512,0.3484647548575467,0.0021857957111504,0.7386362623251851,0.005204380947336,2,2,1,2,E:2N,5N,0.1788253884645773,0.8211746115354227,0.6371027713549433,3,1.0,-1.0838513479697731
RN076,-0.6310646644632518,0.0092573805563671,0.7193168558396096,0.7285524694283818,0.43626806833114323,0.0,0.5637319316688568,21098,1522,75416,0.4441942318466468,0.0103806175004093,0.369757611781089,0.0059013439307393,2,2,3,3,E:2N,5N,0.04140941690053009,0.9585905830994699,0.5988148920467413,5,-0.5849625007211563,0.26461081190692093
RN077,-0.6688318243997187,0.0021726970850696,0.7485134617838458,0.7993345809939696,0.7507692307692307,0.0,0.24923076923076923,19236,4225,78370,0.3974308653616495,0.0031274605292188,0.5694485180335492,0.0040765832204267,2,2,2,2,E:2N,5N,0.17101574293724392,0.8289842570627561,0.9392427759545345,4,0.0,-0.5188614986859378
RN078,-0.8421778990930154,0.000580038273823,0.8565763191275314,0.9238694219826296,0.7512503290339563,0.0,0.2487496709660437,16695,7598,68587,0.5907163429305218,0.0001786579300392,0.727802749740991,0.0045285086563859,3,3,1,2,E:2N,5N,0.27011167897028204,0.729888321029718,0.8131563954371045,4,1.584962500721156,-0.3010819753600544
RN079,-0.3896091304214007,0.00362779837055,0.6362461179512241,0.6428709521507975,0.3570280407215574,0.06447579924986604,0.5784961600285765,20690,5599,63433,0.5362731953966234,0.0044772079082805,0.303767859715721,0.0064360455836615,2,2,3,2,E:2N,5N,0.13065359477124183,0.8693464052287582,0.5553650223689214,5,-0.5849625007211563,0.8199989118071841
RN080,-0.6871740201907744,0.0050745671112312,0.8401523006578164,0.8225154723543553,0.7189608636977058,0.003879892037786775,0.27715924426450744,19551,5928,58831,0.5500368050361889,0.0058586643053894,0.5063790849943585,0.0054822312822781,2,2,2,2,E:2N,5N,0.2095069557095807,0.7904930442904193,0.8741001085849044,4,0.0,0.11931033975397529
RN081,-0.5107415277160796,0.0039028484387807,0.6922184382628612,0.7333205245208704,0.3555076757339079,0.042822515486129815,0.6016698087799623,20819,3713,66362,0.3826011953971572,0.0027192569380834,0.4035009212644219,0.0083775088194219,4,2,2,2,E:2N,5N,0.07958039428468078,0.9204196057153192,0.48479166182643796,6,1.0,-0.07673058619653325
