CC AB,STD AB,F1,M,B1,B2,B3,Mo,Bi,Ti,BiC A,STD A,BiC B,STD B,inA,OutA,inB,OutB,Mean Connectivity,InABR,BCABR
-0.7964800945955984,0.0037690175203088,0.849925194751595,14602,8049,0,2538,16477,10587,58151,0.4576668607847707,0.0009068213741282,0.7506080145722295,0.0013605028221375,3,2,2,2,5N & E:2N,0.5849625007211562,-0.7137618630308629
-0.443013448426697,0.0049151523021697,0.6627827827827828,15721,1032,0,1594,23468,2626,49950,0.3690735928170911,0.0050470620861955,0.418622909114237,0.0008471752354203,2,3,3,2,5N & E:2N,-0.5849625007211563,-0.18174274858212333
-0.8504534578002282,0.0034767371127674,0.8886455909858126,19265,5363,0,1100,21290,6463,43842,0.4937402942260114,0.0057331171691298,0.8168694151137101,0.0039376297359901,4,2,1,2,5N & E:2N,2.0,-0.7263530788625265
-0.7368748332760825,0.0033522213699233,0.7696934538348803,16572,1711,0,588,20172,2299,98256,0.75148365079149,0.004106303269407,0.3683334525756783,0.0061435209959145,1,2,3,2,5N & E:2N,-1.5849625007211563,1.0287292865102151
-0.8255675502507144,0.0024058227444439,0.8955588368923216,21912,4400,0,750,24784,5150,35216,0.8002997318405095,0.0024299684353082,0.6048878814237821,0.0026452910274447,1,2,2,2,5N & E:2N,-1.0,0.4038726683946146
-0.8213368415123784,0.0005611036049126,0.8910858730288422,20843,4434,0,676,23646,5110,36717,0.7954186591107155,0.004376621179867,0.5944445495065723,0.0013644966709195,1,3,2,2,5N & E:2N,-1.0,0.42017216566570614
-0.8359842849591456,0.0028796512841522,0.8790374757378191,20233,5620,0,1134,22685,6754,40186,0.8034656564980086,0.0049608388795235,0.4732731199627036,0.0041305181630333,1,3,3,2,5N & E:2N,-1.5849625007211563,0.7635633733202337
-0.8304246564234509,0.0055173288954938,0.8657166955209304,18557,5854,0,362,22640,6216,45054,0.7638764458226079,0.002097921882681,0.8168278901332572,0.0057315382673428,1,2,1,2,5N & E:2N,0.0,-0.09669282050778574
-0.4529468042865197,0.0007602614364405,0.6596996733924337,14583,195,0,191,21083,386,105019,0.2709593515593373,0.0075974635942409,0.3789185534273072,0.005908626426799,4,3,3,2,5N & E:2N,0.41503749927884376,-0.483811342528097
-0.781676978413917,0.0051711013861499,0.8091314385797309,15151,2786,0,611,17903,3397,75366,0.4560064334019826,0.0037928591178254,0.7325906581922874,0.0038124909433613,2,2,1,3,5N & E:2N,1.0,-0.6839531260123005
-0.7155072784903357,0.0012436981769758,0.8063068194764064,18679,4736,0,1786,22126,6522,43889,0.4563964245085105,0.0044506774955465,0.530459474026865,0.0097791893750561,4,2,2,2,5N & E:2N,1.0,-0.216955047185039
-0.7333634677562747,0.0031777780757296,0.7830223272490222,20074,2902,0,503,24765,3405,49088,0.7286242881014416,0.0051576736115774,0.3920784011264187,0.0055427783833984,1,3,2,2,5N & E:2N,-1.0,0.8940329183114167
-0.5161774957507481,0.0040285874584704,0.6866285043299575,17334,1937,0,1164,23617,3101,61317,0.5469324181745269,0.003705796565008,0.3704566861569704,0.0071363655843128,2,2,3,2,5N & E:2N,-0.5849625007211563,0.5620577047951699
-0.8186575313466938,0.0012583803113933,0.8908252650991241,19726,6537,0,1185,21457,7722,43380,0.6907601197017564,0.0030045949421525,0.5815405067284531,0.0060437136163613,2,2,2,3,5N & E:2N,0.0,0.24830510787102797
-0.8225321068482175,0.0042516036562833,0.8575571099698955,18245,5889,1,2079,20266,7969,45176,0.4863418627326433,0.0030118728926903,0.6614381276857751,0.0037359195477183,4,2,2,2,5N & E:2N,1.0,-0.44363543064684463
-0.8194354060088148,0.004482800655473,0.809776365168109,17235,6245,0,1242,20252,7487,52228,0.7729587433408857,0.0003258119543753,0.4173745200844134,0.002580320309908,1,3,3,3,5N & E:2N,-1.5849625007211563,0.8890488829679477
-0.1739193322414265,0.0105724417091927,0.5770808627928592,10880,1031,534,3111,19180,4676,62402,0.3890970595025591,0.0068924615991152,0.3522656186885953,0.0019358604853327,3,2,3,2,5N & E:2N,0.0,0.14346640366631325
-0.8051995569873567,0.0048604613733096,0.8125130671126908,16434,3509,0,1179,18910,4688,76528,0.7360730838457106,0.0023373032545679,0.4847819482983911,0.0037276643947826,1,2,3,2,5N & E:2N,-1.5849625007211563,0.6025130383728543
-0.727088497052832,0.0080389418013696,0.7537087042037537,18867,2034,0,1047,23356,3081,59994,0.3109189818202051,0.0045710023028935,0.741656023871168,0.0064721845077051,4,2,1,2,5N & E:2N,2.0,-1.2542115307546766
